GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	SPÖ	ÖVP	FPÖ	GRÜNE	NEOS	PILZ	GILT	FLÖ	KPÖ	WEIßE	SLP	EUAUS	M	CPÖ	NBZ	ODP
10416	Strem	752	579	572	7	111	284	146	11	6	11	0	0	1	2	0	0	0	0	0	0
10417	Tobaj	1101	843	835	8	167	359	247	17	19	18	5	0	2	1	0	0	0	0	0	0
10418	Hackerberg	293	229	229	0	73	94	53	1	3	2	2	0	1	0	0	0	0	0	0	0
10419	Wörterberg	391	301	299	2	92	90	85	7	14	9	0	0	2	0	0	0	0	0	0	0
10420	Großmürbisch	214	163	161	2	55	77	17	5	3	3	0	0	1	0	0	0	0	0	0	0
10421	Inzenhof	267	210	206	4	76	61	63	2	2	2	0	0	0	0	0	0	0	0	0	0
10422	Kleinmürbisch	206	151	151	0	51	60	35	1	0	3	0	0	1	0	0	0	0	0	0	0
10423	Tschanigraben	51	37	37	0	25	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0
10424	Heugraben	191	156	151	5	45	65	37	0	2	2	0	0	0	0	0	0	0	0	0	0
10425	Rohr im Burgenland	340	264	264	0	82	84	81	1	7	2	4	1	2	0	0	0	0	0	0	0
10426	Bildein	264	213	212	1	21	132	46	2	4	6	0	0	0	1	0	0	0	0	0	0
10427	Rauchwart	378	303	300	3	118	64	110	2	1	2	3	0	0	0	0	0	0	0	0	0
10428	Moschendorf	333	280	278	2	64	149	54	4	4	2	1	0	0	0	0	0	0	0	0	0
10499	Wahlkarten - Güssing	0	2002	1992	10	678	750	362	56	65	55	16	2	8	0	0	0	0	0	0	0
10500	Jennersdorf	14381	11847	11748	99	3136	3878	3710	244	287	326	87	14	47	19	0	0	0	0	0	0
10501	Deutsch Kaltenbrunn	1452	1078	1069	9	340	312	334	19	19	26	8	2	7	2	0	0	0	0	0	0
10502	Eltendorf	791	575	570	5	163	180	188	11	12	11	3	1	1	0	0	0	0	0	0	0
10503	Heiligenkreuz im Lafnitztal	977	695	691	4	193	214	239	16	13	12	3	0	0	1	0	0	0	0	0	0
10504	Jennersdorf	3502	2425	2412	13	466	830	893	63	66	66	13	4	8	3	0	0	0	0	0	0
10505	Minihof-Liebau	890	680	678	2	203	183	237	8	23	12	10	0	1	1	0	0	0	0	0	0
10506	Mogersdorf	923	706	703	3	245	190	211	14	17	16	6	2	1	1	0	0	0	0	0	0
10507	Neuhaus am Klausenbach	778	548	539	9	117	210	172	7	11	16	3	0	1	2	0	0	0	0	0	0
10508	Rudersdorf	1834	1386	1369	17	368	494	391	17	32	48	10	0	9	0	0	0	0	0	0	0
10509	Sankt Martin an der Raab	1686	1320	1300	20	353	435	401	31	28	29	15	2	4	2	0	0	0	0	0	0
10510	Weichselbaum	601	443	442	1	109	174	133	5	3	14	1	0	3	0	0	0	0	0	0	0
10511	Königsdorf	611	462	457	5	142	149	148	4	5	7	2	0	0	0	0	0	0	0	0	0
10512	Mühlgraben	336	266	262	4	104	55	82	5	6	6	4	0	0	0	0	0	0	0	0	0
10599	Wahlkarten - Jennersdorf	0	1263	1256	7	333	452	281	44	52	63	9	3	12	7	0	0	0	0	0	0
10600	Mattersburg	31514	26403	26117	286	9512	7826	6225	497	822	875	184	49	95	32	0	0	0	0	0	0
10601	Draßburg	923	697	691	6	395	120	128	6	16	12	7	0	6	1	0	0	0	0	0	0
10602	Forchtenstein	2302	1741	1728	13	566	559	468	22	49	46	13	2	0	3	0	0	0	0	0	0
10603	Hirm	744	598	591	7	304	125	128	12	7	9	3	0	3	0	0	0	0	0	0	0
10604	Loipersbach im Burgenland	985	776	764	12	316	142	251	9	14	24	5	0	3	0	0	0	0	0	0	0
10605	Marz	1643	1287	1273	14	423	451	284	29	39	34	4	3	5	1	0	0	0	0	0	0
10606	Mattersburg	5689	4132	4089	43	1385	1219	1036	100	133	151	31	11	18	5	0	0	0	0	0	0
10607	Neudörfl	3408	2451	2416	35	907	570	693	42	88	90	12	5	6	3	0	0	0	0	0	0
10608	Pöttelsdorf	610	427	424	3	125	163	88	12	17	11	7	0	1	0	0	0	0	0	0	0
10609	Pöttsching	2369	1844	1826	18	651	514	454	41	60	72	13	1	14	6	0	0	0	0	0	0
10610	Rohrbach bei Mattersburg	2179	1663	1636	27	642	506	359	20	38	43	8	14	5	1	0	0	0	0	0	0
10611	Bad Sauerbrunn	1732	1263	1251	12	369	351	322	45	58	82	19	0	3	2	0	0	0	0	0	0
10612	Schattendorf	1950	1515	1486	29	725	331	325	31	30	28	9	0	6	1	0	0	0	0	0	0
10613	Sieggraben	1016	787	778	9	224	279	233	3	17	13	7	1	1	0	0	0	0	0	0	0
10614	Sigleß	970	794	788	6	367	189	156	17	31	17	8	0	3	0	0	0	0	0	0	0
10615	Wiesen	2193	1704	1684	20	348	697	474	20	56	72	8	3	5	1	0	0	0	0	0	0
10616	Antau	613	471	469	2	114	188	134	6	7	15	4	0	1	0	0	0	0	0	0	0
10617	Baumgarten	708	548	544	4	279	140	71	14	16	21	1	0	1	1	0	0	0	0	0	0
