GKZ_NEU	PG_NEU	GKZ_ALT	PG_ALT
61058	Straß-Spielfeld	61041	Straß in Steiermark
61058	Straß-Spielfeld	61044	Vogau
61059	Wildon	61040	Stocking (Teilung)
61059	Wildon	61046	Weitendorf
61059	Wildon	61047	Wildon
61101	Eisenerz	61101	Eisenerz
61105	Kalwang	61105	Kalwang
61106	Kammern im Liesingtal	61106	Kammern im Liesingtal
61107	Kraubath an der Mur	61107	Kraubath an der Mur
61108	Leoben	61108	Leoben
61109	Mautern in Steiermark	61109	Mautern in Steiermark
61110	Niklasdorf	61110	Niklasdorf
61111	Proleb	61111	Proleb
61112	Radmer	61112	Radmer
61113	Sankt Michael in Obersteiermark	61113	Sankt Michael in Obersteiermark
61114	Sankt Peter-Freienstein	61114	Sankt Peter-Freienstein
61115	Sankt Stefan ob Leoben	61115	Sankt Stefan ob Leoben
61116	Traboch	61116	Traboch
61118	Vordernberg	61118	Vordernberg
61119	Wald am Schoberpaß	61119	Wald am Schoberpaß
61120	Trofaiach	61120	Trofaiach
61203	Aigen im Ennstal	61203	Aigen im Ennstal
61204	Altaussee	61204	Altaussee
61205	Altenmarkt bei Sankt Gallen	61205	Altenmarkt bei Sankt Gallen
61206	Ardning	61206	Ardning
61207	Bad Aussee	61207	Bad Aussee
61213	Gröbming	61213	Gröbming
61215	Grundlsee	61215	Grundlsee
61217	Haus	61217	Haus
61222	Lassing	61222	Lassing
61236	Ramsau am Dachstein	61236	Ramsau am Dachstein
61243	Selzthal	61243	Selzthal
61247	Trieben	61247	Trieben
61251	Wildalpen	61251	Wildalpen
61252	Wörschach	61252	Wörschach
61253	Admont	61201	Admont
61253	Admont	61216	Hall
61253	Admont	61219	Johnsbach
61253	Admont	61250	Weng im Gesäuse
61254	Aich	61202	Aich
61254	Aich	61212	Gössenberg
61255	Bad Mitterndorf	61226	Bad Mitterndorf
61255	Bad Mitterndorf	61233	Pichl-Kainisch
61255	Bad Mitterndorf	61245	Tauplitz
61256	Gaishorn am See	61210	Gaishorn am See
61256	Gaishorn am See	61246	Treglwang
61257	Irdning-Donnersbachtal	61208	Donnersbach
61257	Irdning-Donnersbachtal	61209	Donnersbachwald
61257	Irdning-Donnersbachtal	61218	Irdning
61258	Landl	61104	Hieflau
61258	Landl	61211	Gams bei Hieflau
61258	Landl	61221	Landl
61258	Landl	61230	Palfau
61259	Liezen	61223	Liezen
61259	Liezen	61249	Weißenbach bei Liezen
61260	Michaelerberg-Pruggern	61224	Michaelerberg
61260	Michaelerberg-Pruggern	61234	Pruggern
61261	Mitterberg-Sankt Martin	61225	Mitterberg
61261	Mitterberg-Sankt Martin	61240	Sankt Martin am Grimming
61262	Öblarn	61227	Niederöblarn
61262	Öblarn	61228	Öblarn
61263	Rottenmann	61229	Oppenberg
61263	Rottenmann	61238	Rottenmann
61264	Sankt Gallen	61239	Sankt Gallen
61264	Sankt Gallen	61248	Weißenbach an der Enns
61265	Schladming	61232	Pichl-Preunegg
61265	Schladming	61237	Rohrmoos-Untertal
61265	Schladming	61242	Schladming
61266	Sölk	61214	Großsölk
61266	Sölk	61220	Kleinsölk
61266	Sölk	61241	Sankt Nikolai im Sölktal
61267	Stainach-Pürgg	61235	Pürgg-Trautenfels
61267	Stainach-Pürgg	61244	Stainach
61410	Mühlen	61410	Mühlen
61413	Niederwölz	61413	Niederwölz
61425	Sankt Peter am Kammersberg	61425	Sankt Peter am Kammersberg
61428	Schöder	61428	Schöder
61437	Krakau	61404	Krakaudorf
61437	Krakau	61405	Krakauhintermühlen
61437	Krakau	61406	Krakauschatten
61438	Murau	61408	Laßnitz bei Murau
61438	Murau	61411	Murau
61438	Murau	61431	Stolzalpe
61438	Murau	61433	Triebendorf
61439	Neumarkt in der Steiermark	61401	Dürnstein in der Steiermark
61439	Neumarkt in der Steiermark	61407	Kulm am Zirbitz
61439	Neumarkt in der Steiermark	61409	Mariahof
61439	Neumarkt in der Steiermark	61412	Neumarkt in Steiermark
61439	Neumarkt in der Steiermark	61416	Perchau am Sattel
61439	Neumarkt in der Steiermark	61424	Sankt Marein bei Neumarkt
61439	Neumarkt in der Steiermark	61435	Zeutschach
61440	Oberwölz	61414	Oberwölz Stadt
61440	Oberwölz	61415	Oberwölz Umgebung
61440	Oberwölz	61429	Schönberg-Lachtal
61440	Oberwölz	61434	Winklern bei Oberwölz
61441	Ranten	61418	Ranten
61441	Ranten	61419	Rinegg
61442	Sankt Georgen am Kreischberg	61421	Sankt Georgen ob Murau
61442	Sankt Georgen am Kreischberg	61436	Sankt Ruprecht-Falkendorf
61443	Sankt Lambrecht	61420	Sankt Blasen
61443	Sankt Lambrecht	61422	Sankt Lambrecht
61444	Scheifling	61423	Sankt Lorenzen bei Scheifling
61444	Scheifling	61427	Scheifling
61445	Stadl-Predlitz	61417	Predlitz-Turrach
61445	Stadl-Predlitz	61430	Stadl an der Mur
61446	Teufenbach-Katsch	61403	Frojach-Katsch
61446	Teufenbach-Katsch	61432	Teufenbach
62007	Fohnsdorf	62007	Fohnsdorf
62008	Gaal	62008	Gaal
62010	Hohentauern	62010	Hohentauern
62014	Kobenz	62014	Kobenz
62021	Pusterwald	62021	Pusterwald
62026	Sankt Georgen ob Judenburg	62026	Sankt Georgen ob Judenburg
62032	Sankt Peter ob Judenburg	62032	Sankt Peter ob Judenburg
62034	Seckau	62034	Seckau
62036	Unzmarkt-Frauenburg	62036	Unzmarkt-Frauenburg
62038	Zeltweg	62038	Zeltweg
62039	Großlobming	62009	Großlobming
62039	Großlobming	62012	Kleinlobming
62040	Judenburg	62011	Judenburg
62040	Judenburg	62018	Oberweg
62040	Judenburg	62023	Reifling
62041	Knittelfeld	62002	Apfelberg
62041	Knittelfeld	62013	Knittelfeld
62042	Obdach	62001	Amering
62042	Obdach	62016	Obdach
62042	Obdach	62025	Sankt Anna am Lavantegg
62042	Obdach	62033	Sankt Wolfgang-Kienberg
62043	Pöls-Oberkurzheim	62017	Oberkurzheim
62043	Pöls-Oberkurzheim	62020	Pöls
62044	Pölstal	62003	Bretstein
62044	Pölstal	62019	Oberzeiring
62044	Pölstal	62027	Sankt Johann am Tauern
62044	Pölstal	62031	Sankt Oswald-Möderbrugg
62045	Sankt Marein-Feistritz	62005	Feistritz bei Knittelfeld
62045	Sankt Marein-Feistritz	62029	Sankt Marein bei Knittelfeld
62046	Sankt Margarethen bei Knittelfeld	62022	Rachau
62046	Sankt Margarethen bei Knittelfeld	62028	Sankt Lorenzen bei Knittelfeld
62046	Sankt Margarethen bei Knittelfeld	62030	Sankt Margarethen bei Knittelfeld
62047	Spielberg	62006	Flatschach
62047	Spielberg	62035	Spielberg
62048	Weißkirchen in Steiermark	62004	Eppenstein
62048	Weißkirchen in Steiermark	62015	Maria Buch-Feistritz
62048	Weißkirchen in Steiermark	62024	Reisstraße
62048	Weißkirchen in Steiermark	62037	Weißkirchen in Steiermark
62311	Edelsbach bei Feldbach	62311	Edelsbach bei Feldbach
62314	Eichkögl	62314	Eichkögl
62326	Halbenrain	62326	Halbenrain
62330	Jagerberg	62330	Jagerberg
62332	Kapfenstein	62332	Kapfenstein
62335	Klöch	62335	Klöch
62343	Mettersdorf am Saßbach	62343	Mettersdorf am Saßbach
62347	Murfeld	62347	Murfeld
62368	Tieschen	62368	Tieschen
62372	Unterlamm	62372	Unterlamm
62375	Bad Gleichenberg	62303	Bad Gleichenberg
62375	Bad Gleichenberg	62305	Bairisch Kölldorf
62375	Bad Gleichenberg	62342	Merkendorf
62375	Bad Gleichenberg	62369	Trautmannsdorf in Oststeiermark
62376	Bad Radkersburg	62304	Bad Radkersburg
62376	Bad Radkersburg	62357	Radkersburg Umgebung
62377	Deutsch Goritz	62309	Deutsch Goritz
62377	Deutsch Goritz	62359	Ratschendorf
62378	Fehring	62315	Fehring
62378	Fehring	62327	Hatzendorf
62378	Fehring	62329	Hohenbrugg-Weinberg
62378	Fehring	62331	Johnsdorf-Brunn
62378	Fehring	62352	Pertlstein
62379	Feldbach	62301	Auersbach
62379	Feldbach	62316	Feldbach
62379	Feldbach	62322	Gniebing-Weißenbach
62379	Feldbach	62324	Gossendorf
62379	Feldbach	62339	Leitersdorf im Raabtal
62379	Feldbach	62345	Mühldorf bei Feldbach
62379	Feldbach	62356	Raabau
62380	Gnas	62302	Aug-Radisch
62380	Gnas	62306	Baumgarten bei Gnas
62380	Gnas	62321	Gnas
62380	Gnas	62325	Grabersdorf
62380	Gnas	62336	Kohlberg (Teilung)
62380	Gnas	62341	Maierdorf
62380	Gnas	62355	Poppendorf
62380	Gnas	62358	Raning
62380	Gnas	62370	Trössing
62380	Gnas	62371	Unterauersbach
62381	Kirchbach in der Steiermark	62333	Kirchbach in Steiermark
62381	Kirchbach in der Steiermark	62374	Zerlach
62382	Kirchberg an der Raab	62317	Fladnitz im Raabtal
62382	Kirchberg an der Raab	62334	Kirchberg an der Raab
62382	Kirchberg an der Raab	62348	Oberdorf am Hochegg
62382	Kirchberg an der Raab	62349	Oberstorcha (Teilung)
62382	Kirchberg an der Raab	62367	Studenzen
62383	Mureck	62313	Eichfeld
62383	Mureck	62323	Gosdorf
62383	Mureck	62346	Mureck
62384	Paldau	62336	Kohlberg (Teilung)
62384	Paldau	62349	Oberstorcha (Teilung)
62384	Paldau	62350	Paldau
62384	Paldau	62351	Perlsdorf
62385	Pirching am Traubenberg	62312	Edelstauden
62385	Pirching am Traubenberg	62318	Frannach
62385	Pirching am Traubenberg	62354	Pirching am Traubenberg
62386	Riegersburg	62308	Breitenfeld an der Rittschein
62386	Riegersburg	62337	Kornberg bei Riegersburg
62386	Riegersburg	62340	Lödersdorf
62386	Riegersburg	62360	Riegersburg
62387	Sankt Anna am Aigen	62319	Frutten-Gießelsdorf
62387	Sankt Anna am Aigen	62361	Sankt Anna am Aigen
62388	Sankt Peter am Ottersbach	62307	Bierbaum am Auersbach
62388	Sankt Peter am Ottersbach	62310	Dietersdorf am Gnasbach
62388	Sankt Peter am Ottersbach	62362	Sankt Peter am Ottersbach
62389	Sankt Stefan im Rosental	62320	Glojach
62389	Sankt Stefan im Rosental	62363	Sankt Stefan im Rosental
62390	Straden	62328	Hof bei Straden
62390	Straden	62338	Krusdorf
62390	Straden	62365	Stainz bei Straden
62390	Straden	62366	Straden
61611	Krottendorf-Gaisfeld	61611	Krottendorf-Gaisfeld
61612	Ligist	61612	Ligist
61615	Mooskirchen	61615	Mooskirchen
61618	Rosental an der Kainach	61618	Rosental an der Kainach
61621	Sankt Martin am Wöllmißberg	61621	Sankt Martin am Wöllmißberg
61624	Stallhofen	61624	Stallhofen
61625	Voitsberg	61625	Voitsberg
61626	Bärnbach	61601	Bärnbach
61626	Bärnbach	61617	Piberegg
61627	Edelschrott	61602	Edelschrott
61627	Edelschrott	61614	Modriach
61628	Geistthal-Södingberg	61604	Geistthal
61628	Geistthal-Södingberg	61623	Södingberg
61629	Hirschegg-Pack	61607	Hirschegg
61629	Hirschegg-Pack	61616	Pack
61630	Kainach bei Voitsberg	61603	Gallmannsegg
61630	Kainach bei Voitsberg	61608	Kainach bei Voitsberg
61630	Kainach bei Voitsberg	61610	Kohlschwarz
61631	Köflach	61606	Graden
61631	Köflach	61609	Köflach
61632	Maria Lankowitz	61605	Gößnitz
61632	Maria Lankowitz	61613	Maria Lankowitz
61632	Maria Lankowitz	61619	Salla
61633	Söding-Sankt Johann	61620	Sankt Johann-Köppling
61633	Söding-Sankt Johann	61622	Söding
61701	Albersdorf-Prebuch	61701	Albersdorf-Prebuch
61708	Fischbach	61708	Fischbach
61710	Floing	61710	Floing
61711	Gasen	61711	Gasen
61716	Markt Hartmannsdorf	61716	Markt Hartmannsdorf
61719	Hofstätten an der Raab	61719	Hofstätten an der Raab
61727	Ludersdorf-Wilfersdorf	61727	Ludersdorf-Wilfersdorf
61728	Miesenbach bei Birkfeld	61728	Miesenbach bei Birkfeld
61729	Mitterdorf an der Raab	61729	Mitterdorf an der Raab
61730	Mortantsch	61730	Mortantsch
61731	Naas	61731	Naas
61740	Puch bei Weiz	61740	Puch bei Weiz
61741	Ratten	61741	Ratten
61743	Rettenegg	61743	Rettenegg
61744	Sankt Kathrein am Hauenstein	61744	Sankt Kathrein am Hauenstein
61745	Sankt Kathrein am Offenegg	61745	Sankt Kathrein am Offenegg
61746	Sankt Margarethen an der Raab	61746	Sankt Margarethen an der Raab
61748	Sinabelkirchen	61748	Sinabelkirchen
61750	Strallegg	61750	Strallegg
61751	Thannhausen	61751	Thannhausen
61756	Anger	61702	Anger
61756	Anger	61704	Baierdorf bei Anger
61756	Anger	61707	Feistritz bei Anger
61756	Anger	61732	Naintsch
61757	Birkfeld	61705	Birkfeld
61757	Birkfeld	61714	Gschaid bei Birkfeld
61757	Birkfeld	61717	Haslau bei Birkfeld
61757	Birkfeld	61722	Koglhof
61757	Birkfeld	61754	Waisenegg
61758	Fladnitz an der Teichalm	60649	Tulwitz
61758	Fladnitz an der Teichalm	60650	Tyrnau
61758	Fladnitz an der Teichalm	61709	Fladnitz an der Teichalm
61759	Gersdorf an der Feistritz	61712	Gersdorf an der Feistritz
61759	Gersdorf an der Feistritz	61735	Oberrettenbach
61760	Gleisdorf	61713	Gleisdorf
61760	Gleisdorf	61725	Labuch
61760	Gleisdorf	61726	Laßnitzthal
61760	Gleisdorf	61734	Nitscha
61760	Gleisdorf	61752	Ungerdorf
61761	Gutenberg-Stenzengreith	61715	Gutenberg an der Raabklamm
61761	Gutenberg-Stenzengreith	61749	Stenzengreith
61762	Ilztal	61721	Ilztal
61762	Ilztal	61739	Preßguts
61763	Passail	61703	Arzberg
61763	Passail	61720	Hohenau an der Raab
61763	Passail	61733	Neudorf bei Passail
61763	Passail	61736	Passail
61764	Pischelsdorf am Kulm	61724	Kulm bei Weiz
61764	Pischelsdorf am Kulm	61737	Pischelsdorf in der Steiermark
61764	Pischelsdorf am Kulm	61742	Reichendorf
61765	Sankt Ruprecht an der Raab	61706	Etzersdorf-Rollsdorf
61765	Sankt Ruprecht an der Raab	61747	Sankt Ruprecht an der Raab
61765	Sankt Ruprecht an der Raab	61753	Unterfladnitz
61766	Weiz	61723	Krottendorf
61766	Weiz	61755	Weiz
