X;Y;MEAN_X;MEAN_Y;GKZ
15.8479393397302;47.1439160848944;590697.941574195399880;363560.400650553929154;"61759"
15.4584265657865;47.3045090017086;560687.749519110657275;380521.365251929673832;"61758"
15.6721153518408;47.3527624085226;576674.372930504730903;386345.249471756687853;"61757"
15.6782836836729;47.2873044204193;577359.307730704429559;379087.526644139492419;"61756"
15.5086188461019;47.2722277200585;564581.042663150350563;377039.865628544648644;"61763"
15.75997616428;47.1512710075502;584005.752262869151309;364165.614917221246287;"61762"
15.5372312867039;47.2074766648363;566948.384182574809529;369907.237703707185574;"61761"
15.7117455446261;47.0989268339268;580528.611470136907883;358237.948523986327928;"61760"
15.645214278679;47.2107194726326;575112.532972486107610;370504.803098666365258;"61766"
15.6761202189765;47.1615298446525;577616.674504188005812;365110.392199349938892;"61765"
15.787552818433;47.1850531781409;585977.080007207812741;367983.848355540540069;"61764"
14.0526037668412;48.5288310097962;453174.397493563184980;514665.972124624997377;"41307"
13.863448464049;48.5453657158509;439193.865643480967265;516392.488597165385727;"41306"
13.9916708073045;48.5272624812343;448676.342632818326820;514451.860043428780045;"41305"
13.9655314472139;48.4896282864153;446779.936365233908873;510251.853557766648009;"41304"
13.9148970111536;48.5193635265889;443013.394859900989104;513528.636841395986266;"41311"
14.0476932837212;48.5732776527445;452766.534958959848154;519604.128125111281406;"41309"
13.8720255766209;48.7143919904107;439697.420247602218296;535189.920712882187217;"41315"
13.9511849123572;48.4455828916558;445758.483098075666931;505346.629699037468527;"41314"
13.8400860067191;48.6685870937047;437380.353290646104142;530081.222412962815724;"41313"
13.8188647709954;48.4774068478815;435949.571600224066060;508815.540730610489845;"41312"
14.0592507739863;48.5958315277909;453595.909625326457899;522119.533673932834063;"41319"
13.9115118459098;48.4932679339907;442784.857224936422426;510625.545674646738917;"41318"
13.8289979134807;48.599152292899;436612.739655095618218;522355.869377379945945;"41317"
14.0080238431837;48.4623613695357;449946.349517681170255;507246.765191597514786;"41316"
14.0858944600349;48.4513497063063;455715.820195167965721;506075.246558860410005;"41323"
13.8834764599289;48.4734440163214;440728.688207500090357;508406.628982640337199;"41322"
14.0152447693914;48.4911516491552;450452.282087980769575;510452.149271961417980;"41321"
13.8327672579073;48.6341071057984;436865.866863662493415;526244.057457794551738;"41320"
13.8069773377762;48.5170421332863;435044.161049216694664;513216.708273537922651;"41327"
13.8933243134095;48.6212183270005;441338.861141045985278;524841.294584826799110;"41326"
13.944156662793;48.5943959732094;445109.177455834869761;521887.216740439296700;"41325"
13.8060853481555;48.5683245354849;434943.790256207692437;518917.895042126474436;"41324"
14.1290331569069;48.4987977160659;458852.267725363955833;511381.844702919537667;"41331"
13.751703128571;48.5323620195687;430952.363621316617355;514896.678294403129257;"41329"
13.8592227065404;48.504502853797;438912.500252367754001;511847.299819688778371;"41328"
14.0936094063676;48.5168364875736;456215.395232094218954;513361.192325036798138;"41334"
14.021802685005;48.6254312628497;450805.151057753304485;525385.443989208899438;"41333"
14.0381167947601;48.4212569743005;452212.677830047265161;502696.766867724130861;"41332"
13.9059965027533;48.5598464852898;442323.007378282025456;518024.633867282245774;"41338"
